ProductID,ProductName,Category,Sub-Category,Price
P101,Wooden Workstation,Furniture,Tables,1545
P102,Epson EcoTank,Technology,Printers,1871
P103,Lever Arch File,Office Supplies,Binders,400
P104,Dell Inspiron,Technology,Laptops,1666
P105,Mesh Task Chair,Furniture,Chairs,33
P106,Asus VivoBook,Technology,Laptops,523
P107,Study Table,Furniture,Tables,250
P108,Wooden Workstation,Furniture,Tables,1127
P109,Storage Box,Office Supplies,Storage,149
P110,Adjustable Standing Desk,Furniture,Tables,1786
P111,Adjustable Standing Desk,Furniture,Tables,857
P112,Graph Paper,Office Supplies,Paper,1188
P113,Adjustable Standing Desk,Furniture,Tables,910
P114,Storage Box,Office Supplies,Storage,1900
P115,Lever Arch File,Office Supplies,Binders,47
P116,Revolving Chair,Furniture,Chairs,85
P117,Office Desk,Furniture,Tables,1206
P118,Google Pixel 7,Technology,Phones,1272
P119,Ring Binder,Office Supplies,Binders,280
P120,Keyboard Combo,Technology,Accessories,1492
